ags,ac,al,dv
01060049,4,60 bis 74,5.4
01060050,3,40 bis 59,9.2
01060059,3,40 bis 59,5.0
01060060,3,40 bis 59,3.6
01060061,3,40 bis 59,4.9
01060067,3,40 bis 59,4.6
01060069,3,40 bis 59,8.8
01060070,1,unter 18,5.0
01060071,3,40 bis 59,6.4
01060075,3,40 bis 59,3.7
01060081,4,60 bis 74,7.8
01060090,4,60 bis 74,5.2
01060091,1,unter 18,6.0
01060093,3,40 bis 59,1.9
01060096,3,40 bis 59,5.9
01060097,3,40 bis 59,2.7
01060098,4,60 bis 74,1.7
01061029,4,60 bis 74,2.6
01061046,5,75 und älter,2.1
01061113,5,75 und älter,3.1
01061016,5,75 und älter,4.5
01061017,1,unter 18,3.8
01061058,2,19 bis 39,2.9
01061061,5,75 und älter,1.2
01061072,4,60 bis 74,3.7
01061079,3,40 bis 59,3.9
01061109,3,40 bis 59,4.3
01061012,3,40 bis 59,6.2
01061015,3,40 bis 59,7.6
01061027,4,60 bis 74,8.4
01061037,1,unter 18,3.3
01061041,3,40 bis 59,6.2
01061044,3,40 bis 59,3.1
01061050,4,60 bis 74,2.5
01061054,2,19 bis 39,5.1
01061074,4,60 bis 74,3.3
01061101,4,60 bis 74,3.0
01061118,3,40 bis 59,5.5
01061024,4,60 bis 74,7.4
01061034,3,40 bis 59,6.6
01061035,3,40 bis 59,4.3
01061039,3,40 bis 59,12.0
01061040,3,40 bis 59,2.5
01061045,3,40 bis 59,1.7
01061047,3,40 bis 59,3.0
01061052,3,40 bis 59,4.8
01061065,3,40 bis 59,3.1
01061067,4,60 bis 74,3.5
01061082,3,40 bis 59,2.0
01061083,3,40 bis 59,8.1
01061084,1,unter 18,3.9
01061098,1,unter 18,1.2
01061100,1,unter 18,5.2
01061114,3,40 bis 59,12.3
01061006,1,unter 18,3.5
01061022,3,40 bis 59,4.3
01061026,3,40 bis 59,8.7
01061030,4,60 bis 74,4.0
01061055,3,40 bis 59,2.1
01061056,4,60 bis 74,4.2
01061057,3,40 bis 59,5.3
01061073,3,40 bis 59,3.0
01061092,3,40 bis 59,6.9
01061104,3,40 bis 59,5.8
01061001,1,unter 18,9.9
01061011,3,40 bis 59,1.2
01061014,3,40 bis 59,6.3
01061031,4,60 bis 74,3.7
01061033,1,unter 18,9.1
01061043,3,40 bis 59,5.0
01061066,3,40 bis 59,4.6
01061076,3,40 bis 59,4.1
01061078,4,60 bis 74,6.6
01061085,1,unter 18,2.9
01061087,3,40 bis 59,4.2
01061091,3,40 bis 59,2.3
01061097,4,60 bis 74,2.8
01061105,3,40 bis 59,2.0
01061107,4,60 bis 74,1.1
01061108,3,40 bis 59,5.8
01061007,4,60 bis 74,5.2
01061018,3,40 bis 59,3.7
01061023,3,40 bis 59,9.5
01061025,3,40 bis 59,6.2
01061063,3,40 bis 59,2.6
01061077,3,40 bis 59,4.7
01061095,4,60 bis 74,4.4
01061110,3,40 bis 59,5.1
01061119,3,40 bis 59,6.7
01061019,3,40 bis 59,3.4
01061028,4,60 bis 74,4.0
01061036,3,40 bis 59,5.6
01061042,3,40 bis 59,1.9
01061049,5,75 und älter,1.3
01061071,4,60 bis 74,3.2
01061080,3,40 bis 59,8.9
01061086,4,60 bis 74,1.3
01061088,5,75 und älter,6.3
01061089,3,40 bis 59,11.3
01061093,3,40 bis 59,6.5
01061096,3,40 bis 59,8.1
01061112,1,unter 18,12.9
01061116,3,40 bis 59,2.6
01061117,3,40 bis 59,5.3
01062001,5,75 und älter,3.1
01062004,3,40 bis 59,1.0
01062006,3,40 bis 59,2.8
01062009,5,75 und älter,3.2
01062018,5,75 und älter,2.8
01062023,5,75 und älter,7.3
01062053,5,75 und älter,4.6
01062060,5,75 und älter,3.4
01062061,3,40 bis 59,2.4
01062076,3,40 bis 59,4.8
01062090,3,40 bis 59,2.6
01062019,3,40 bis 59,3.8
01062046,1,unter 18,4.9
01062050,3,40 bis 59,3.0
01062056,3,40 bis 59,5.5
01062062,3,40 bis 59,3.4
01062065,3,40 bis 59,3.9
01062089,3,40 bis 59,5.5
01062091,3,40 bis 59,6.0
01062092,3,40 bis 59,3.8
01062005,3,40 bis 59,5.1
01062014,3,40 bis 59,7.8
01062016,3,40 bis 59,6.4
01062027,1,unter 18,4.2
01062036,3,40 bis 59,2.4
01062051,3,40 bis 59,2.7
01062078,3,40 bis 59,5.3
01062081,3,40 bis 59,5.2
01062003,3,40 bis 59,2.1
01062008,3,40 bis 59,5.3
01062025,1,unter 18,4.5
01062031,3,40 bis 59,3.2
01062032,4,60 bis 74,1.4
01062039,3,40 bis 59,2.8
01062048,3,40 bis 59,7.8
01062059,3,40 bis 59,4.8
01062083,3,40 bis 59,2.6
01062087,1,unter 18,2.8
01062093,3,40 bis 59,4.2
01062094,3,40 bis 59,7.8
01062011,3,40 bis 59,6.5
01062035,3,40 bis 59,4.2
01062069,1,unter 18,3.6
01062071,3,40 bis 59,4.0
01062088,3,40 bis 59,4.8
01062020,3,40 bis 59,5.1
01062021,3,40 bis 59,4.2
01062022,3,40 bis 59,5.9
01062026,1,unter 18,3.8
01062045,1,unter 18,2.9
01062058,4,60 bis 74,5.1
01062082,3,40 bis 59,2.0
01062086,3,40 bis 59,4.4
02000000,2,19 bis 39,5.1
03101000,2,19 bis 39,5.4
03102000,1,unter 18,1.8
03103000,5,75 und älter,0.8
03151009,4,60 bis 74,1.6
03151025,1,unter 18,3.2
03151040,4,60 bis 74,2.0
03151002,3,40 bis 59,3.1
03151004,3,40 bis 59,4.7
03151014,3,40 bis 59,4.1
03151020,5,75 und älter,2.6
03151030,3,40 bis 59,3.9
03151039,5,75 und älter,2.0
03151003,1,unter 18,2.5
03151005,4,60 bis 74,1.9
03151008,1,unter 18,3.7
03151021,1,unter 18,2.0
03151024,1,unter 18,5.2
03151031,3,40 bis 59,4.9
03151032,3,40 bis 59,3.1
03151007,4,60 bis 74,4.0
03151011,4,60 bis 74,2.0
03151019,3,40 bis 59,3.0
03151028,4,60 bis 74,4.8
03151029,4,60 bis 74,5.9
03151006,1,unter 18,2.1
03151013,4,60 bis 74,2.7
03151022,1,unter 18,4.2
03151037,3,40 bis 59,4.2
03151012,3,40 bis 59,3.0
03151015,1,unter 18,3.5
03151017,1,unter 18,2.0
03151018,3,40 bis 59,2.2
03151001,1,unter 18,5.1
03151016,3,40 bis 59,2.5
03151023,1,unter 18,5.1
03151027,3,40 bis 59,3.3
03151034,3,40 bis 59,4.2
03151041,3,40 bis 59,3.5
03151010,1,unter 18,3.1
03151026,1,unter 18,4.1
03151033,1,unter 18,4.3
03151035,1,unter 18,2.8
03151036,1,unter 18,2.1
03151038,1,unter 18,4.6
03153002,5,75 und älter,8.2
03153008,4,60 bis 74,4.5
03153012,4,60 bis 74,2.8
03153016,4,60 bis 74,8.3
03153017,5,75 und älter,3.3
03153018,2,19 bis 39,7.8
03153019,4,60 bis 74,3.7
03154013,4,60 bis 74,2.4
03154014,3,40 bis 59,2.1
03154019,4,60 bis 74,3.4
03154028,4,60 bis 74,2.8
03154008,4,60 bis 74,3.4
03154015,4,60 bis 74,2.3
03154016,3,40 bis 59,1.5
03154018,4,60 bis 74,5.4
03154002,3,40 bis 59,7.5
03154006,4,60 bis 74,2.7
03154012,5,75 und älter,4.7
03154027,3,40 bis 59,2.5
03154005,3,40 bis 59,3.7
03154017,4,60 bis 74,5.5
03154021,3,40 bis 59,1.4
03154022,3,40 bis 59,5.7
03154025,3,40 bis 59,7.2
03154026,4,60 bis 74,4.8
03154001,4,60 bis 74,2.7
03154004,1,unter 18,3.5
03154007,1,unter 18,2.3
03154009,1,unter 18,2.5
03154024,3,40 bis 59,2.0
03155001,4,60 bis 74,4.1
03155002,4,60 bis 74,3.8
03155003,4,60 bis 74,5.0
03155005,4,60 bis 74,3.3
03155006,4,60 bis 74,4.3
03155007,4,60 bis 74,2.3
03155009,4,60 bis 74,2.4
03155010,4,60 bis 74,1.9
03155011,4,60 bis 74,2.1
03155012,4,60 bis 74,4.2
03155013,4,60 bis 74,4.1
03157001,3,40 bis 59,2.5
03157002,1,unter 18,1.4
03157005,1,unter 18,3.4
03157006,1,unter 18,1.8
03157007,1,unter 18,2.5
03157008,3,40 bis 59,3.4
03157009,5,75 und älter,0.9
03158006,3,40 bis 59,3.6
03158037,5,75 und älter,2.6
03158039,4,60 bis 74,2.8
03158002,5,75 und älter,2.6
03158004,3,40 bis 59,4.4
03158011,3,40 bis 59,4.5
03158016,3,40 bis 59,3.3
03158018,3,40 bis 59,5.5
03158028,3,40 bis 59,3.1
03158005,3,40 bis 59,7.8
03158010,3,40 bis 59,4.4
03158014,4,60 bis 74,4.9
03158019,1,unter 18,2.8
03158023,3,40 bis 59,7.1
03158038,4,60 bis 74,2.1
03158009,1,unter 18,2.0
03158012,4,60 bis 74,6.6
03158013,4,60 bis 74,6.8
03158030,3,40 bis 59,3.1
03158033,1,unter 18,3.0
03158007,4,60 bis 74,3.3
03158008,3,40 bis 59,3.8
03158017,4,60 bis 74,2.0
03158021,3,40 bis 59,5.4
03158022,4,60 bis 74,6.3
03158025,4,60 bis 74,6.0
03158027,4,60 bis 74,3.3
03158031,4,60 bis 74,6.8
03158032,4,60 bis 74,3.5
03158035,4,60 bis 74,3.7
03158036,4,60 bis 74,5.5
03158040,4,60 bis 74,4.2
03159001,4,60 bis 74,3.5
03159002,4,60 bis 74,4.7
03159003,5,75 und älter,5.3
03159004,4,60 bis 74,6.4
03159007,4,60 bis 74,1.4
03159010,4,60 bis 74,2.3
03159013,4,60 bis 74,2.3
03159015,4,60 bis 74,3.1
03159016,2,19 bis 39,10.7
03159017,5,75 und älter,2.4
03159019,5,75 und älter,3.3
03159026,4,60 bis 74,4.1
03159029,4,60 bis 74,1.6
03159034,4,60 bis 74,3.6
03159036,5,75 und älter,5.8
03159008,4,60 bis 74,5.9
03159009,4,60 bis 74,4.4
03159021,4,60 bis 74,3.5
03159024,4,60 bis 74,5.3
03159031,4,60 bis 74,4.0
03159005,4,60 bis 74,2.5
03159006,3,40 bis 59,3.2
03159014,4,60 bis 74,3.2
03159022,4,60 bis 74,4.5
03159025,4,60 bis 74,4.8
03159027,4,60 bis 74,3.4
03159028,4,60 bis 74,5.0
03159030,4,60 bis 74,3.5
03159037,5,75 und älter,6.7
03159038,3,40 bis 59,3.2
03159012,5,75 und älter,2.4
03159018,5,75 und älter,5.1
03159020,4,60 bis 74,7.2
03159039,4,60 bis 74,5.2
03159011,4,60 bis 74,4.2
03159023,4,60 bis 74,3.1
03159032,1,unter 18,2.3
03159033,1,unter 18,1.7
03159035,4,60 bis 74,3.2
03241001,2,19 bis 39,6.4
03241002,5,75 und älter,2.3
03241003,5,75 und älter,1.6
03241004,5,75 und älter,3.5
03241005,5,75 und älter,2.2
03241006,5,75 und älter,2.2
03241007,5,75 und älter,2.6
03241008,5,75 und älter,2.5
03241009,5,75 und älter,1.8
03241010,3,40 bis 59,1.0
03241011,1,unter 18,0.8
03241012,5,75 und älter,1.1
03241013,5,75 und älter,2.2
03241014,1,unter 18,1.3
03241015,1,unter 18,1.1
03241016,3,40 bis 59,3.6
03241017,5,75 und älter,2.6
03241018,3,40 bis 59,1.6
03241019,3,40 bis 59,3.3
03241020,5,75 und älter,2.3
03241021,4,60 bis 74,1.1
03251007,4,60 bis 74,1.7
03251012,2,19 bis 39,2.1
03251037,5,75 und älter,3.2
03251040,5,75 und älter,1.2
03251041,4,60 bis 74,1.8
03251042,4,60 bis 74,1.4
03251044,4,60 bis 74,2.1
03251047,4,60 bis 74,1.9
03251009,3,40 bis 59,2.4
03251020,4,60 bis 74,4.5
03251022,4,60 bis 74,3.0
03251023,5,75 und älter,2.9
03251025,4,60 bis 74,7.6
03251029,3,40 bis 59,4.4
03251036,3,40 bis 59,3.5
03251005,1,unter 18,1.6
03251013,1,unter 18,1.3
03251014,3,40 bis 59,1.2
03251017,3,40 bis 59,1.1
03251002,4,60 bis 74,3.0
03251026,4,60 bis 74,3.0
03251033,3,40 bis 59,2.8
03251049,4,60 bis 74,1.4
03251003,4,60 bis 74,6.4
03251004,4,60 bis 74,2.2
03251018,4,60 bis 74,13.2
03251021,5,75 und älter,2.1
03251043,5,75 und älter,1.4
03251045,4,60 bis 74,5.2
03251006,3,40 bis 59,0.8
03251011,4,60 bis 74,4.1
03251019,1,unter 18,4.3
03251030,1,unter 18,3.4
03251046,1,unter 18,3.6
03251001,5,75 und älter,3.2
03251015,4,60 bis 74,4.3
03251028,3,40 bis 59,4.9
03251031,4,60 bis 74,3.5
03251032,3,40 bis 59,2.2
03251038,4,60 bis 74,6.0
03251008,3,40 bis 59,3.1
03251024,4,60 bis 74,5.9
03251027,3,40 bis 59,2.3
03251034,1,unter 18,2.5
03251035,4,60 bis 74,3.6
03252001,4,60 bis 74,2.5
03252002,5,75 und älter,2.3
03252003,5,75 und älter,5.9
03252004,4,60 bis 74,3.2
03252005,4,60 bis 74,2.8
03252006,5,75 und älter,2.2
03252007,4,60 bis 74,1.7
03252008,4,60 bis 74,2.5
03254002,5,75 und älter,3.2
03254003,4,60 bis 74,2.2
03254005,4,60 bis 74,2.7
03254008,4,60 bis 74,2.2
03254011,5,75 und älter,4.1
03254014,4,60 bis 74,2.4
03254017,3,40 bis 59,1.9
03254020,3,40 bis 59,2.9
03254021,2,19 bis 39,3.4
03254022,4,60 bis 74,2.7
03254026,3,40 bis 59,1.8
03254028,3,40 bis 59,1.6
03254029,4,60 bis 74,2.2
03254032,3,40 bis 59,2.2
03254042,4,60 bis 74,3.6
03254044,4,60 bis 74,2.9
03254045,4,60 bis 74,3.1
03254013,4,60 bis 74,3.9
03254041,4,60 bis 74,3.0
03254043,4,60 bis 74,3.9
03255008,5,75 und älter,3.5
03255023,5,75 und älter,2.1
03255002,5,75 und älter,4.4
03255015,4,60 bis 74,9.1
03255021,4,60 bis 74,4.4
03255030,3,40 bis 59,4.6
03255004,4,60 bis 74,3.3
03255009,4,60 bis 74,7.9
03255014,5,75 und älter,6.4
03255026,4,60 bis 74,4.1
03255003,5,75 und älter,5.1
03255005,4,60 bis 74,5.9
03255016,4,60 bis 74,3.2
03255017,4,60 bis 74,2.5
03255019,4,60 bis 74,3.4
03255020,5,75 und älter,4.9
03255025,4,60 bis 74,6.0
03255031,4,60 bis 74,2.7
03255032,4,60 bis 74,6.0
03255033,4,60 bis 74,7.5
03255035,4,60 bis 74,11.9
03255001,3,40 bis 59,6.4
03255007,3,40 bis 59,2.4
03255010,4,60 bis 74,2.4
03255012,4,60 bis 74,8.2
03255013,5,75 und älter,3.8
03255018,4,60 bis 74,6.0
03255022,5,75 und älter,6.6
03255027,3,40 bis 59,4.0
03255028,4,60 bis 74,7.1
03255034,1,unter 18,2.9
03255036,4,60 bis 74,7.8
03256022,1,unter 18,1.1
03256025,3,40 bis 59,1.7
03256030,4,60 bis 74,4.4
03256005,4,60 bis 74,2.4
03256011,1,unter 18,2.4
03256012,3,40 bis 59,2.4
03256027,1,unter 18,3.5
03256020,3,40 bis 59,2.4
03256026,3,40 bis 59,2.2
03256029,4,60 bis 74,2.0
03256031,4,60 bis 74,3.4
03256004,3,40 bis 59,2.7
03256024,4,60 bis 74,3.4
03256033,4,60 bis 74,1.6
03256034,3,40 bis 59,3.3
03256003,4,60 bis 74,3.0
03256007,1,unter 18,1.6
03256008,4,60 bis 74,2.7
03256009,3,40 bis 59,3.3
03256010,4,60 bis 74,2.5
03256013,3,40 bis 59,2.9
03256014,4,60 bis 74,2.2
03256015,3,40 bis 59,4.0
03256028,4,60 bis 74,1.7
03256035,4,60 bis 74,4.9
03256006,4,60 bis 74,2.2
03256016,3,40 bis 59,4.5
03256017,4,60 bis 74,2.8
03256018,4,60 bis 74,1.8
03256032,4,60 bis 74,2.1
03256001,4,60 bis 74,3.7
03256002,3,40 bis 59,4.5
03256019,1,unter 18,3.2
03256021,4,60 bis 74,1.6
03256023,3,40 bis 59,4.5
03256036,3,40 bis 59,1.1
03257003,3,40 bis 59,1.9
03257009,4,60 bis 74,2.2
03257028,5,75 und älter,2.4
03257031,4,60 bis 74,2.3
03257035,5,75 und älter,2.4
03257001,5,75 und älter,2.6
03257005,5,75 und älter,13.1
03257008,3,40 bis 59,3.5
03257012,5,75 und älter,3.0
03257022,3,40 bis 59,2.0
03257007,3,40 bis 59,2.2
03257015,3,40 bis 59,5.8
03257020,4,60 bis 74,1.1
03257021,3,40 bis 59,3.6
03257006,5,75 und älter,8.9
03257011,3,40 bis 59,2.8
03257016,3,40 bis 59,3.0
03257036,4,60 bis 74,1.7
03257019,4,60 bis 74,3.7
03257023,3,40 bis 59,2.2
03257025,3,40 bis 59,3.1
03257027,3,40 bis 59,4.5
03257030,4,60 bis 74,4.5
03257037,5,75 und älter,3.8
03257013,4,60 bis 74,4.0
03257014,3,40 bis 59,4.4
03257026,4,60 bis 74,2.5
03257034,1,unter 18,3.1
03257002,3,40 bis 59,3.3
03257017,3,40 bis 59,6.3
03257018,3,40 bis 59,3.9
03257024,3,40 bis 59,4.2
03257029,3,40 bis 59,2.4
03257032,3,40 bis 59,1.6
03257004,4,60 bis 74,4.5
03257010,3,40 bis 59,2.7
03257033,3,40 bis 59,3.8
03257038,5,75 und älter,5.2
03351004,1,unter 18,2.1
03351006,5,75 und älter,1.7
03351010,4,60 bis 74,1.5
03351012,1,unter 18,1.9
03351023,4,60 bis 74,1.9
03351024,4,60 bis 74,2.7
03351025,4,60 bis 74,2.7
03351026,5,75 und älter,3.3
03351005,1,unter 18,2.2
03351007,1,unter 18,4.1
03351017,3,40 bis 59,1.4
03351022,4,60 bis 74,3.5
03351002,3,40 bis 59,2.9
03351003,5,75 und älter,2.9
03351008,4,60 bis 74,2.6
03351015,1,unter 18,1.1
03351016,1,unter 18,2.8
03351001,1,unter 18,4.6
03351018,3,40 bis 59,1.7
03351021,1,unter 18,2.7
03351501,3,40 bis 59,2.7
03352011,5,75 und älter,4.4
03352032,4,60 bis 74,2.6
03352050,4,60 bis 74,1.8
03352059,4,60 bis 74,2.9
03352060,3,40 bis 59,2.6
03352061,4,60 bis 74,2.3
03352062,4,60 bis 74,2.4
03352002,1,unter 18,3.7
03352024,4,60 bis 74,4.7
03352029,4,60 bis 74,2.5
03352036,3,40 bis 59,2.9
03352052,4,60 bis 74,5.8
03352020,4,60 bis 74,2.7
03352022,5,75 und älter,1.0
03352044,4,60 bis 74,4.3
03352004,4,60 bis 74,7.0
03352008,4,60 bis 74,4.2
03352025,5,75 und älter,2.1
03352038,4,60 bis 74,2.9
03352039,4,60 bis 74,5.5
03352041,4,60 bis 74,3.5
03352042,4,60 bis 74,5.6
03352043,4,60 bis 74,4.2
03352045,4,60 bis 74,6.0
03352046,4,60 bis 74,4.1
03352051,3,40 bis 59,3.3
03352055,4,60 bis 74,3.3
03352056,4,60 bis 74,5.1
03352063,4,60 bis 74,4.0
03353005,5,75 und älter,2.1
03353026,3,40 bis 59,1.6
03353029,3,40 bis 59,3.1
03353031,5,75 und älter,2.2
03353032,3,40 bis 59,2.4
03353040,1,unter 18,1.8
03353007,3,40 bis 59,5.7
03353023,3,40 bis 59,4.4
03353033,4,60 bis 74,4.6
03353002,3,40 bis 59,4.6
03353004,3,40 bis 59,2.6
03353009,5,75 und älter,1.7
03353016,5,75 und älter,2.5
03353024,3,40 bis 59,5.9
03353036,3,40 bis 59,5.6
03353001,3,40 bis 59,7.5
03353008,4,60 bis 74,2.5
03353014,3,40 bis 59,2.9
03353019,3,40 bis 59,4.1
03353025,3,40 bis 59,4.1
03353028,3,40 bis 59,6.7
03353039,3,40 bis 59,5.3
03353003,3,40 bis 59,5.6
03353017,3,40 bis 59,8.9
03353020,5,75 und älter,3.2
03353010,3,40 bis 59,5.8
03353011,3,40 bis 59,4.6
03353012,3,40 bis 59,4.8
03353013,1,unter 18,3.3
03353030,3,40 bis 59,2.4
03353034,3,40 bis 59,3.2
03353037,3,40 bis 59,5.2
03353042,3,40 bis 59,4.2
03353006,3,40 bis 59,5.5
03353015,3,40 bis 59,4.7
03353018,4,60 bis 74,2.5
03353021,1,unter 18,3.9
03353022,3,40 bis 59,4.3
03353027,1,unter 18,3.3
03353035,1,unter 18,1.2
03353038,3,40 bis 59,4.2
03353041,3,40 bis 59,2.9
03354005,4,60 bis 74,11.1
03354007,4,60 bis 74,10.4
03354010,5,75 und älter,12.7
03354020,4,60 bis 74,6.7
03354021,4,60 bis 74,11.0
03354003,5,75 und älter,7.8
03354004,4,60 bis 74,3.3
03354006,4,60 bis 74,8.2
03354008,5,75 und älter,4.4
03354009,5,75 und älter,6.5
03354011,4,60 bis 74,6.0
03354012,5,75 und älter,4.4
03354014,4,60 bis 74,6.0
03354019,4,60 bis 74,6.9
03354027,5,75 und älter,7.9
03354001,4,60 bis 74,5.3
03354002,4,60 bis 74,3.6
03354013,3,40 bis 59,5.5
03354015,4,60 bis 74,7.6
03354016,4,60 bis 74,6.9
03354017,1,unter 18,4.4
03354018,5,75 und älter,3.7
03354022,4,60 bis 74,5.2
03354023,4,60 bis 74,6.0
03354024,4,60 bis 74,8.2
03354025,4,60 bis 74,7.6
03354026,4,60 bis 74,4.3
03355001,4,60 bis 74,2.4
03355009,4,60 bis 74,2.6
03355022,2,19 bis 39,5.3
03355049,4,60 bis 74,6.2
03355002,4,60 bis 74,1.5
03355008,4,60 bis 74,1.7
03355027,3,40 bis 59,1.8
03355029,3,40 bis 59,3.0
03355034,3,40 bis 59,4.4
03355004,3,40 bis 59,4.9
03355007,3,40 bis 59,5.6
03355017,3,40 bis 59,3.7
03355023,3,40 bis 59,3.5
03355028,1,unter 18,5.0
03355039,5,75 und älter,2.5
03355042,3,40 bis 59,5.6
03355010,3,40 bis 59,6.9
03355012,1,unter 18,5.3
03355013,1,unter 18,2.1
03355025,4,60 bis 74,2.5
03355037,4,60 bis 74,9.0
03355020,1,unter 18,3.4
03355031,4,60 bis 74,2.4
03355035,3,40 bis 59,6.5
03355041,1,unter 18,5.0
03355006,4,60 bis 74,9.2
03355014,3,40 bis 59,3.3
03355016,3,40 bis 59,3.4
03355024,3,40 bis 59,3.8
03355005,3,40 bis 59,7.1
03355026,3,40 bis 59,4.7
03355030,3,40 bis 59,2.1
03355036,3,40 bis 59,3.8
03355038,3,40 bis 59,5.2
03355040,3,40 bis 59,6.7
03355003,1,unter 18,3.0
03355011,3,40 bis 59,6.4
03355015,3,40 bis 59,4.4
03355018,3,40 bis 59,6.3
03355019,3,40 bis 59,5.2
03355021,3,40 bis 59,9.4
03355032,3,40 bis 59,3.7
03355033,1,unter 18,3.9
03356002,4,60 bis 74,2.2
03356005,5,75 und älter,3.2
03356007,4,60 bis 74,1.8
03356008,3,40 bis 59,1.9
03356009,3,40 bis 59,2.1
03356011,4,60 bis 74,4.9
03356001,4,60 bis 74,2.8
03356003,3,40 bis 59,4.2
03356004,4,60 bis 74,10.4
03356006,4,60 bis 74,6.7
03356010,4,60 bis 74,4.7
03357008,4,60 bis 74,2.3
03357016,4,60 bis 74,2.0
03357039,4,60 bis 74,1.1
03357041,3,40 bis 59,1.3
03357051,4,60 bis 74,1.7
03357006,1,unter 18,1.9
03357009,1,unter 18,1.3
03357024,3,40 bis 59,3.0
03357025,3,40 bis 59,2.4
03357031,3,40 bis 59,1.5
03357054,4,60 bis 74,3.9
03357015,4,60 bis 74,3.0
03357023,3,40 bis 59,4.2
03357033,4,60 bis 74,2.0
03357046,3,40 bis 59,4.1
03357049,1,unter 18,5.3
03357002,3,40 bis 59,2.9
03357004,1,unter 18,1.8
03357012,4,60 bis 74,2.0
03357027,4,60 bis 74,3.9
03357035,1,unter 18,3.6
03357003,4,60 bis 74,2.6
03357011,3,40 bis 59,2.2
03357014,3,40 bis 59,3.0
03357036,1,unter 18,1.2
03357038,3,40 bis 59,2.8
03357040,3,40 bis 59,4.9
03357042,1,unter 18,2.5
03357043,1,unter 18,0.9
03357017,1,unter 18,2.2
03357019,3,40 bis 59,2.6
03357029,1,unter 18,4.7
03357032,3,40 bis 59,4.1
03357034,1,unter 18,3.5
03357044,3,40 bis 59,1.1
03357048,3,40 bis 59,4.7
03357050,3,40 bis 59,4.2
03357056,3,40 bis 59,3.0
03357001,3,40 bis 59,4.2
03357005,3,40 bis 59,4.6
03357020,1,unter 18,8.1
03357022,4,60 bis 74,4.0
03357028,1,unter 18,4.7
03357037,1,unter 18,4.2
03357045,1,unter 18,2.4
03357007,4,60 bis 74,4.5
03357010,3,40 bis 59,2.8
03357026,1,unter 18,3.0
03357030,1,unter 18,2.9
03357047,4,60 bis 74,1.9
03357052,3,40 bis 59,4.6
03357053,4,60 bis 74,3.5
03357055,4,60 bis 74,3.1
03357013,3,40 bis 59,3.8
03357018,3,40 bis 59,3.3
03357021,3,40 bis 59,2.6
03357057,2,19 bis 39,1.0
03358002,3,40 bis 59,1.7
03358008,1,unter 18,1.6
03358016,2,19 bis 39,1.0
03358017,5,75 und älter,1.3
03358019,4,60 bis 74,2.0
03358021,5,75 und älter,1.3
03358023,3,40 bis 59,2.7
03358024,4,60 bis 74,0.8
03358001,3,40 bis 59,4.5
03358006,4,60 bis 74,2.3
03358011,3,40 bis 59,5.8
03358012,4,60 bis 74,3.9
03358014,1,unter 18,2.5
03358003,4,60 bis 74,9.6
03358009,3,40 bis 59,0.5
03358013,3,40 bis 59,4.8
03358018,3,40 bis 59,1.7
03358005,3,40 bis 59,8.0
03358007,3,40 bis 59,3.2
03358010,4,60 bis 74,4.2
03358015,3,40 bis 59,4.4
03358020,1,unter 18,1.9
03358501,2,19 bis 39,22.8
03359010,5,75 und älter,1.9
03359013,4,60 bis 74,1.6
03359028,3,40 bis 59,2.0
03359038,1,unter 18,1.1
03359003,1,unter 18,4.2
03359006,1,unter 18,3.1
03359037,1,unter 18,4.3
03359011,3,40 bis 59,1.6
03359017,4,60 bis 74,2.4
03359031,4,60 bis 74,1.9
03359002,1,unter 18,2.8
03359005,3,40 bis 59,4.4
03359008,3,40 bis 59,3.0
03359023,1,unter 18,1.7
03359001,3,40 bis 59,4.4
03359007,3,40 bis 59,1.5
03359012,1,unter 18,4.6
03359027,1,unter 18,3.1
03359034,3,40 bis 59,3.5
03359020,4,60 bis 74,4.5
03359021,5,75 und älter,3.4
03359026,3,40 bis 59,3.4
03359032,3,40 bis 59,4.3
03359033,3,40 bis 59,6.2
03359039,5,75 und älter,3.2
03359004,4,60 bis 74,8.6
03359018,4,60 bis 74,6.3
03359030,4,60 bis 74,10.0
03359035,4,60 bis 74,5.9
03359040,4,60 bis 74,2.1
03359009,3,40 bis 59,3.6
03359014,3,40 bis 59,1.5
03359015,1,unter 18,2.8
03359016,4,60 bis 74,2.6
03359019,4,60 bis 74,3.8
03359022,1,unter 18,4.3
03359024,3,40 bis 59,3.9
03359025,1,unter 18,2.3
03359029,1,unter 18,5.6
03359036,4,60 bis 74,2.5
03360004,3,40 bis 59,3.3
03360025,5,75 und älter,1.6
03360015,3,40 bis 59,2.3
03360016,4,60 bis 74,4.9
03360018,3,40 bis 59,2.3
03360022,4,60 bis 74,6.7
03360024,4,60 bis 74,3.6
03360007,4,60 bis 74,3.3
03360009,4,60 bis 74,6.5
03360023,4,60 bis 74,2.8
03360001,3,40 bis 59,4.9
03360002,5,75 und älter,9.5
03360003,3,40 bis 59,4.4
03360006,4,60 bis 74,2.7
03360008,3,40 bis 59,6.0
03360010,3,40 bis 59,4.8
03360011,4,60 bis 74,5.1
03360012,3,40 bis 59,6.4
03360014,4,60 bis 74,4.2
03360017,3,40 bis 59,4.1
03360019,4,60 bis 74,2.9
03360026,3,40 bis 59,5.7
03360029,4,60 bis 74,3.7
03360005,4,60 bis 74,8.0
03360013,3,40 bis 59,4.4
03360020,4,60 bis 74,4.0
03360030,4,60 bis 74,2.4
03361001,1,unter 18,1.7
